ticker,company,market_cap_eur,momentum_12_1,return_6m,return_3m,vol_60d_ann,beta_1y_vs_stoxx50,max_drawdown_1y,adv_60d_shares,adv_60d_eur,dividend_yield_ttm
ABI.BR,AB InBev,108737139566.20667,0.028718839668018692,-0.09851728940813187,0.013708812240500023,0.1716045487925513,,-0.21885947962618635,1420124.3166666667,77709204.34155019,0.018274853393491032
ASML.AS,ASML,342152164886.9138,0.4345228515087287,0.36626995836389753,0.37205070854657185,0.3339320908755141,,-0.26321107410446676,666768.7166666667,582822518.9598002,0.007504862353534126
CS.PA,AXA,82714000858.10098,0.24452168733234747,-0.06053208367939045,-0.11129068441444756,0.1961939207345055,,-0.13571435477562288,3896607.716666667,149980437.55482668,0.05585866215232762
ADS.DE,Adidas,29424887970.836884,-0.09569502323593881,-0.2446261967454001,-0.05023503645747929,0.33280409351161855,,-0.39508380891464445,527981.5833333334,85348219.72328949,0.012372409993907811
ADYEN.AS,Adyen,44643779455.48242,0.2062603166507928,-0.11209174897934837,-0.030828467012874117,0.34294306239573297,,-0.33163594321336676,63904.3,90002817.68016358,
AI.PA,Air Liquide,100105435260.17995,0.12066236167221,-0.06981294294107188,-0.0752432333456503,0.14437297476312833,,-0.12364934266413308,567523.0333333333,97091841.58183238,0.019289221210430096
AIR.PA,Airbus,165967052510.0,0.5240005360567188,0.3127781054909038,0.15272971253528178,0.18290601047778535,,-0.2345452586874065,845033.8,174499479.70000002,0.014527845036319613
ALV.DE,Allianz,141728671996.41858,0.3165811007662793,0.05936601182569334,-0.021038598925391172,0.17245473952166984,,-0.1202902324807803,441310.13333333336,162225607.70687664,0.041893361654796554
BAS.DE,BASF,39038920552.871704,0.05522581946372673,0.0497464714050162,-0.09682110417610668,0.18316324743845075,,-0.2718606345779916,1968533.5833333333,85572157.27049509,0.05175983291503589
BBVA.MC,BBVA,108412130485.3137,0.7697219748130539,0.4117338544968885,0.1524092457102979,0.27491162336116437,,-0.20426941003592902,10368426.5,190623523.5756445,0.03970628180103091
BMW.DE,BMW,53886338489.57873,0.22052681044578137,0.1791123484575312,-0.022687281043526353,0.2921032423528227,,-0.26971720178609393,974483.1,86475628.21227951,0.04845616524130647
SAN.MC,Banco Santander,137104505104.06494,0.9365022392189037,0.3502908324473293,0.15139794761961434,0.2433737008700074,,-0.20788636216030654,25537387.3,237267874.75637054,0.02421698322370852
