date,ticker,company,market_cap_eur,momentum_12_1,return_6m,return_3m,vol_60d_ann,beta_1y_vs_stoxx50,max_drawdown_1y,adv_60d_shares,adv_60d_eur,dividend_yield_ttm,future_return_3m_pct
2005-01-14,VOW3.DE,Volkswagen,5668879496.0478115,-0.0456868270716948,0.16600088357755705,0.04287415396140504,0.17646042235449316,,-0.18929237680686695,188964.36666666667,2101308.9651729264,,4.706446357964045
2005-01-19,ENEL.MI,Enel,17608193314.43581,0.35419104601082085,0.17963306144654334,0.10709359706339061,0.1422905963591892,,-0.07669148699228401,49256360.583333336,86093595.98067951,,1.1095556348525548
2005-01-26,CAP.PA,Capgemini,2604291802.2616377,-0.35319281263818514,-0.006099979254607701,0.22506256475924635,0.4040460123067464,,-0.5290376351517228,1754660.8333333333,27522515.216856796,,2.7005086363975916
2005-02-01,WKL.AS,Wolters Kluwer,1740144259.165945,0.07982158120697846,0.024211245147653937,-0.049046354132110004,0.1737568071626802,,-0.12808809704453494,1405949.9666666666,10761779.671294624,,2.362415351476166
2005-02-23,WKL.AS,Wolters Kluwer,1827401048.2432747,0.003947069401659897,0.08112051072418702,0.00756022027143155,0.1702344468843887,,-0.12808809704453494,1489630.55,11974059.659259891,,1.728134518769231
2005-03-09,ISP.MI,Intesa Sanpaolo,18992847677.652138,0.4256426166455478,0.19325658039278903,0.04841022402883555,0.1521384780249525,,-0.11059136783654622,24271919.283333335,26518810.079007022,,7.606570756304731
2005-03-17,BN.PA,Danone,12579732357.917725,0.11961557453770921,0.19334425201078131,0.14264034844322815,0.1250576562687934,,-0.1401101667347201,2208257.6,43136610.26453247,,1.445931782671428
2005-03-23,CS.PA,AXA,10285161366.452892,0.24391598343514653,0.2352941820335135,0.16666660923554466,0.34917225828506,,-0.11111135997930643,7374271.866666666,35715662.25590172,,8.128752180495713
2005-03-25,SAF.PA,Safran,4961664400.06403,-0.013415400002714017,0.08571882103257344,0.07464019783573872,0.21826113733712524,,-0.26457018895983153,556642.75,6622821.173830509,,4.299311415705764
2005-04-01,CS.PA,AXA,10285161366.452892,0.3061123034010236,0.2352941820335135,0.16666660923554466,0.35186013712442027,,-0.11111135997930643,7459720.816666666,36129515.43266301,,13.53520012712297
2005-04-05,DG.PA,Vinci,6987669315.000893,0.4983953128600991,0.21510725482351556,0.09152873220924551,0.159171260502893,,-0.06718316939926061,2132056.283333333,26703144.054899324,,27.546710418060893
2005-04-12,AIR.PA,Airbus,13564123223.471603,0.051857958581787544,0.027280512307092275,-0.006917638053479891,0.2086731458815402,,-0.15943778484838278,1973832.4833333334,33916899.275203295,,16.57341344744463
